,client_id,Variation,visitor_id,tenure_group,clnt_tenure_mnth,clnt_age,gendr,gendr_num,invalid_sequence,converted,num_invalid_steps,first_invalid_step,last_invalid_step,wrong_steps,invalid_rate
53,11880,test,981741619_79128678482,short_tenure,71.0,27.0,U,,True,1,11,start,confirm,11,0.0
56,13009,control,360435735_44466390795,short_tenure,121.0,63.5,U,,True,0,9,start,step_3,9,0.0
60,13831,control,841596667_34744324631,long_tenure,194.0,42.0,F,0.0,True,0,9,start,step_2,9,0.0
64,14690,test,540335303_98817561630,short_tenure,83.0,43.0,M,1.0,True,0,3,start,start,3,0.0
66,15050,test,143172828_43549799833,long_tenure,321.0,52.5,F,0.0,True,1,9,start,confirm,9,0.0
70,15753,test,601984694_38256669083,short_tenure,75.0,58.0,M,1.0,True,0,10,start,start,10,0.0
71,15807,test,397008369_16010030989,short_tenure,55.0,27.0,F,0.0,True,0,5,start,start,5,0.0
72,16135,control,973833159_30067220181,long_tenure,170.0,63.5,F,0.0,True,0,15,start,step_1,15,0.0
74,16295,test,683840870_77493421156,long_tenure,281.0,55.0,F,0.0,True,1,9,start,confirm,9,0.0
75,16549,control,507602243_76391579078,long_tenure,294.0,55.5,F,0.0,True,1,12,start,confirm,12,0.0
76,16679,control,969102987_82457129532,short_tenure,89.0,40.0,U,,True,0,8,start,start,8,0.0
78,17160,control,666738639_90225008330,long_tenure,169.0,53.5,F,0.0,True,0,10,start,step_1,10,0.0
79,17318,test,276401056_40671227044,long_tenure,195.0,69.0,M,1.0,True,0,5,start,start,5,0.0
82,18660,control,752495227_56656898955,long_tenure,222.0,45.0,M,1.0,True,0,4,start,start,4,0.0
84,19060,test,943295188_60353572812,short_tenure,117.0,55.0,M,1.0,True,0,5,start,start,5,0.0
89,20091,control,837374771_48545978049,short_tenure,70.0,21.0,U,,True,1,8,start,confirm,8,0.0
90,20185,test,605452303_14846862358,long_tenure,189.0,60.5,F,0.0,True,1,30,start,confirm,30,0.0
91,20564,test,590842135_88427743978,short_tenure,124.0,55.5,M,1.0,True,1,10,start,confirm,10,0.0
94,21200,test,974431048_88054561536,short_tenure,71.0,61.0,U,,True,0,5,start,start,5,0.0
95,21281,test,789016794_78682115112,long_tenure,144.0,63.5,M,1.0,True,1,9,start,confirm,9,0.0
96,21353,control,600870620_47652177803,long_tenure,260.0,77.5,F,0.0,True,1,9,start,confirm,9,0.0
97,21498,control,112796748_95489419773,long_tenure,193.0,70.5,F,0.0,True,1,12,start,confirm,12,0.0
98,21522,test,956380374_35738784925,short_tenure,58.0,65.0,F,0.0,True,0,16,start,start,16,0.0
99,21596,test,546824865_38801132695,long_tenure,142.0,43.0,U,,True,1,7,start,confirm,7,0.0
101,21940,control,805212536_88115807517,long_tenure,150.0,43.5,M,1.0,True,1,11,start,confirm,11,0.0
102,21970,control,884689567_69949404962,short_tenure,65.0,22.5,U,,True,0,9,start,step_1,9,0.0
105,22885,control,7801409_9805440892,short_tenure,70.0,32.0,F,0.0,True,0,23,start,step_3,23,0.0
110,23276,control,45006070_62818213457,long_tenure,158.0,67.5,M,1.0,True,0,7,start,step_3,7,0.0
117,24443,test,506118219_28700413405,short_tenure,122.0,49.0,M,1.0,True,1,21,start,confirm,21,0.0
118,24572,test,630052492_58601863492,short_tenure,72.0,23.5,F,0.0,True,1,7,start,confirm,7,0.0
121,24841,test,376538741_96757012661,long_tenure,178.0,70.5,M,1.0,True,0,12,start,step_1,12,0.0
127,25766,control,166531704_28515622010,long_tenure,181.0,33.5,F,0.0,True,1,7,start,confirm,7,0.0
130,27021,control,533602374_23301907469,short_tenure,114.0,34.5,M,1.0,True,1,9,start,confirm,9,0.0
132,27241,control,157215519_55925767374,short_tenure,101.0,34.5,U,,True,0,10,start,step_1,10,0.0
134,27764,test,769510355_13412064058,short_tenure,58.0,23.0,U,,True,1,9,start,confirm,9,0.0
135,27988,control,614125491_26789370797,long_tenure,345.0,60.0,F,0.0,True,1,14,start,confirm,14,0.0
137,28371,test,866346652_30817910419,long_tenure,139.0,34.5,M,1.0,True,1,8,start,confirm,8,0.0
139,28705,control,671211728_52294615240,long_tenure,190.0,53.0,F,0.0,True,1,10,start,confirm,10,0.0
141,28857,control,92635092_88286701142,long_tenure,178.0,52.0,M,1.0,True,1,17,start,confirm,17,0.0
148,30318,test,48627717_99303689454,short_tenure,59.0,54.5,U,,True,1,13,start,confirm,13,0.0
149,30493,test,493753122_31736508429,long_tenure,184.0,49.5,F,0.0,True,1,8,start,confirm,8,0.0
153,31264,control,91691909_20643284493,long_tenure,174.0,37.0,M,1.0,True,1,9,start,confirm,9,0.0
154,31336,test,536148944_46312713697,short_tenure,123.0,28.5,M,1.0,True,1,16,start,confirm,16,0.0
155,31499,test,927201320_93386695394,long_tenure,246.0,66.0,M,1.0,True,1,9,start,confirm,9,0.0
156,31502,control,997960069_79388660924,short_tenure,84.0,47.5,U,,True,1,9,start,confirm,9,0.0
157,31597,test,810809574_85595370255,short_tenure,80.0,68.0,U,,True,1,52,start,confirm,52,0.0
159,31766,test,513713631_3740744725,long_tenure,176.0,19.0,F,0.0,True,0,7,start,step_1,7,0.0
163,32471,test,192139291_60531026352,long_tenure,154.0,57.0,F,0.0,True,0,9,start,start,9,0.0
164,32746,test,65336966_69053834536,long_tenure,171.0,40.5,F,0.0,True,1,10,start,confirm,10,0.0
167,33463,control,952539351_71791673316,short_tenure,59.0,33.5,U,,True,1,12,start,confirm,12,0.0
168,34067,control,903578810_54395828122,long_tenure,262.0,65.5,M,1.0,True,1,7,start,confirm,7,0.0
171,34501,control,744482577_79498082034,long_tenure,143.0,40.0,F,0.0,True,0,8,start,start,8,0.0
172,34631,control,292322273_82708113449,long_tenure,154.0,52.0,M,1.0,True,0,7,start,start,7,0.0
175,35010,test,320568594_22318736857,short_tenure,100.0,47.0,U,,True,0,5,start,start,5,0.0
176,35087,control,847859473_16432287154,long_tenure,158.0,22.0,M,1.0,True,0,5,start,step_2,5,0.0
177,35091,test,442413682_90979726878,short_tenure,85.0,24.0,U,,True,0,3,start,start,3,0.0
179,35181,test,127824352_19955282945,long_tenure,190.0,48.5,M,1.0,True,1,8,start,confirm,8,0.0
180,35476,test,161009914_19633878974,long_tenure,250.0,31.0,M,1.0,True,1,11,start,confirm,11,0.0
182,36109,control,306603996_85757417975,long_tenure,257.0,71.5,M,1.0,True,0,9,start,step_1,9,0.0
185,36430,test,482682471_38429318504,short_tenure,72.0,57.5,F,0.0,True,1,10,start,confirm,10,0.0
186,36432,test,17482617_23174269260,long_tenure,355.0,59.0,F,0.0,True,0,5,start,start,5,0.0
187,36555,test,969188417_56121692878,long_tenure,191.0,70.0,M,1.0,True,0,10,start,start,10,0.0
188,36986,test,856085193_40886570650,long_tenure,318.0,77.5,M,1.0,True,0,16,start,step_1,16,0.0
189,37064,control,488045465_27851224051,short_tenure,60.0,32.5,U,,True,1,9,start,confirm,9,0.0
190,37295,control,19086232_16918855588,short_tenure,90.0,31.5,U,,True,1,8,start,confirm,8,0.0
191,37423,test,868188978_93813762607,long_tenure,209.0,48.5,U,,True,0,15,start,start,15,0.0
194,37691,test,573687012_67902583930,long_tenure,245.0,30.0,M,1.0,True,0,4,start,start,4,0.0
196,38283,test,903019674_51748678867,short_tenure,87.0,55.5,U,,True,1,8,start,confirm,8,0.0
199,38551,test,171133364_38937720793,long_tenure,248.0,64.5,M,1.0,True,0,6,start,start,6,0.0
202,38930,control,661627740_45494224423,long_tenure,274.0,25.5,F,0.0,True,1,8,start,confirm,8,0.0
209,40969,test,479944611_77206434069,short_tenure,84.0,49.0,U,,True,0,5,start,start,5,0.0
210,41142,test,987601219_6152478231,short_tenure,80.0,38.0,U,,True,1,14,start,confirm,14,0.0
212,41924,test,102188708_12696450155,long_tenure,253.0,52.0,M,1.0,True,0,7,start,start,7,0.0
218,43494,control,672176156_90772122603,long_tenure,269.0,62.0,F,0.0,True,0,6,start,start,6,0.0
219,44060,control,368099332_80252248439,short_tenure,64.0,44.5,U,,True,1,9,start,confirm,9,0.0
220,44705,test,87884205_27957779570,long_tenure,189.0,55.0,M,1.0,True,1,8,start,confirm,8,0.0
222,45131,test,81248672_45515656126,short_tenure,70.0,76.0,U,,True,1,12,start,confirm,12,0.0
223,45485,test,893113311_14266477315,long_tenure,254.0,67.5,M,1.0,True,1,8,start,confirm,8,0.0
224,45510,test,123617415_92937601190,short_tenure,84.0,31.5,U,,True,1,10,start,confirm,10,0.0
230,46790,test,997907788_66843892750,short_tenure,66.0,34.0,U,,True,0,4,start,start,4,0.0
231,47402,control,854385699_7834303210,short_tenure,92.0,27.0,U,,True,0,5,start,start,5,0.0
233,47860,test,595465238_38577196581,short_tenure,138.0,37.0,F,0.0,True,0,6,start,start,6,0.0
234,47933,control,843424419_56211326357,long_tenure,156.0,49.5,F,0.0,True,0,8,start,step_1,8,0.0
236,48241,control,436371609_24933651614,long_tenure,262.0,58.0,M,1.0,True,0,18,start,start,18,0.0
238,48424,control,479636985_28592326092,long_tenure,276.0,42.0,M,1.0,True,0,13,start,step_3,13,0.0
240,48724,test,356511134_9751666580,short_tenure,57.0,38.5,U,,True,1,12,start,confirm,12,0.0
244,49412,control,260263920_63201765506,short_tenure,136.0,51.5,M,1.0,True,1,9,start,confirm,9,0.0
245,49450,control,519931502_26167985789,long_tenure,271.0,62.5,U,,True,1,9,start,confirm,9,0.0
246,49709,test,753039508_18507230174,short_tenure,54.0,67.5,M,1.0,True,1,11,start,confirm,11,0.0
253,51526,test,935555432_19618565909,long_tenure,319.0,44.0,M,1.0,True,1,9,start,confirm,9,0.0
254,52111,control,814386630_70110636250,short_tenure,106.0,46.0,M,1.0,True,1,16,start,confirm,16,0.0
256,52309,test,38221831_54558861493,short_tenure,93.0,57.0,M,1.0,True,0,7,start,start,7,0.0
257,52456,control,925912936_1656564070,short_tenure,66.0,55.5,U,,True,0,10,start,step_1,10,0.0
258,52743,test,260503955_41917390553,short_tenure,82.0,54.5,U,,True,1,12,start,confirm,12,0.0
265,55265,test,912666277_70321299290,long_tenure,142.0,29.5,F,0.0,True,1,8,start,confirm,8,0.0
266,55448,control,840115343_7199681764,short_tenure,110.0,58.5,F,0.0,True,0,8,start,step_1,8,0.0
268,56294,test,281591841_49370524630,short_tenure,92.0,27.0,F,0.0,True,1,7,start,confirm,7,0.0
271,56570,test,490616591_14848505640,long_tenure,171.0,49.0,M,1.0,True,0,7,start,start,7,0.0
272,56782,control,840477802_83297517816,short_tenure,124.0,45.0,M,1.0,True,0,5,start,start,5,0.0
274,56923,test,330821824_42259886131,long_tenure,284.0,40.5,F,0.0,True,1,8,start,confirm,8,0.0
278,58001,control,720124391_7850825847,long_tenure,212.0,64.5,M,1.0,True,1,8,start,confirm,8,0.0
279,58194,test,938101258_47334305981,short_tenure,113.0,45.5,F,0.0,True,1,9,start,confirm,9,0.0
280,58196,control,500338642_657773211,short_tenure,86.0,45.5,U,,True,1,17,start,confirm,17,0.0
281,58456,control,85325676_4234306123,long_tenure,183.0,61.0,U,,True,0,15,start,step_1,15,0.0
283,58589,control,738314398_64542634741,short_tenure,119.0,41.0,U,,True,1,13,start,confirm,13,0.0
284,58917,control,62669646_83783891965,long_tenure,170.0,73.0,M,1.0,True,1,8,start,confirm,8,0.0
287,59782,control,418060379_33900106965,short_tenure,83.0,65.5,U,,True,1,7,start,confirm,7,0.0
288,59802,test,661363920_60481792210,long_tenure,169.0,38.5,M,1.0,True,1,8,start,confirm,8,0.0
289,59860,control,7157580_20984012168,short_tenure,106.0,52.0,F,0.0,True,1,11,start,confirm,11,0.0
294,60802,test,568269944_90095283833,long_tenure,391.0,55.0,F,0.0,True,0,9,start,start,9,0.0
296,61961,test,528423427_17627254519,short_tenure,64.0,73.5,M,1.0,True,1,7,start,confirm,7,0.0
299,62503,control,759258929_31034969239,short_tenure,85.0,37.0,U,,True,0,6,start,start,6,0.0
302,63796,test,564036747_43617938738,long_tenure,189.0,79.5,F,0.0,True,1,10,start,confirm,10,0.0
304,63879,test,605268032_30111756316,long_tenure,191.0,36.5,F,0.0,True,1,11,start,confirm,11,0.0
305,64020,control,773192540_37834411009,long_tenure,189.0,46.5,F,0.0,True,1,7,start,confirm,7,0.0
307,64964,control,738553635_30143599641,long_tenure,343.0,64.5,F,0.0,True,0,7,start,step_1,7,0.0
309,65716,control,650832682_25140855857,long_tenure,145.0,45.0,F,0.0,True,1,10,start,confirm,10,0.0
312,66169,control,788156762_5097367314,long_tenure,174.0,45.5,M,1.0,True,1,9,start,confirm,9,0.0
314,66930,test,734350288_81750556426,short_tenure,71.0,63.0,U,,True,0,8,start,step_3,8,0.0
316,67390,test,341684336_18998852028,short_tenure,136.0,30.0,F,0.0,True,1,7,start,confirm,7,0.0
317,67845,test,239461965_68805823718,long_tenure,369.0,85.0,F,0.0,True,0,4,start,step_1,4,0.0
320,68830,control,558792514_19877364799,long_tenure,161.0,32.5,M,1.0,True,0,7,start,step_1,7,0.0
321,68854,control,518023075_39852009617,short_tenure,112.0,51.5,M,1.0,True,0,7,start,start,7,0.0
322,68884,test,441180684_43479770070,long_tenure,359.0,80.0,F,0.0,True,0,12,start,step_3,12,0.0
323,68963,control,287437938_75954439812,long_tenure,373.0,56.5,M,1.0,True,0,13,start,start,13,0.0
326,70576,test,513752800_98215052334,long_tenure,264.0,43.0,F,0.0,True,1,16,start,confirm,16,0.0
329,71296,control,560596510_93496651717,long_tenure,371.0,72.5,F,0.0,True,1,13,start,confirm,13,0.0
330,71626,control,239924782_72527602981,long_tenure,170.0,78.0,F,0.0,True,0,7,start,step_3,7,0.0
331,72074,test,81301971_27845799564,long_tenure,271.0,51.0,F,0.0,True,1,12,start,confirm,12,0.0
332,72221,control,82591170_39869421807,short_tenure,138.0,50.5,M,1.0,True,0,13,start,step_1,13,0.0
335,72395,test,773646164_21249473485,long_tenure,225.0,48.0,M,1.0,True,1,7,start,confirm,7,0.0
343,73453,control,111123105_42096754461,long_tenure,201.0,56.5,M,1.0,True,0,6,start,start,6,0.0
348,74169,control,417472226_13818715306,short_tenure,57.0,35.5,U,,True,0,8,start,step_1,8,0.0
349,74564,test,815569575_43879545755,short_tenure,56.0,58.0,U,,True,0,5,start,start,5,0.0
350,74844,test,594766114_70581599688,short_tenure,83.0,60.0,U,,True,0,6,start,start,6,0.0
351,74976,test,809846003_57926678590,short_tenure,125.0,47.5,M,1.0,True,1,8,start,confirm,8,0.0
357,76429,test,716855974_2529319254,long_tenure,220.0,29.0,M,1.0,True,1,9,start,confirm,9,0.0
358,76481,test,13701593_48821368950,short_tenure,81.0,62.5,U,,True,1,20,start,confirm,20,0.0
361,76635,test,684284063_21218027653,short_tenure,128.0,24.0,M,1.0,True,0,7,start,step_2,7,0.0
362,76776,control,706771837_52194723708,long_tenure,330.0,62.5,M,1.0,True,0,11,start,step_1,11,0.0
363,77071,control,664003424_86243725561,short_tenure,69.0,46.5,U,,True,1,8,start,confirm,8,0.0
364,77513,test,549542040_9243616915,long_tenure,142.0,33.5,F,0.0,True,1,8,start,confirm,8,0.0
368,78728,control,499189400_86050658999,short_tenure,76.0,34.0,U,,True,0,5,start,start,5,0.0
369,78917,control,58891198_41860073058,long_tenure,296.0,68.0,M,1.0,True,0,4,start,step_1,4,0.0
370,79127,control,733405585_83563406693,long_tenure,331.0,64.5,F,0.0,True,0,9,start,step_1,9,0.0
372,79229,control,179971696_7965661641,long_tenure,182.0,42.0,F,0.0,True,0,4,start,start,4,0.0
375,79669,test,522553224_38366941939,long_tenure,189.0,61.0,M,1.0,True,0,7,start,step_1,7,0.0
377,79897,test,313978003_70151417047,short_tenure,86.0,54.5,U,,True,1,11,start,confirm,11,0.0
378,80006,test,817611526_99915676607,long_tenure,349.0,71.5,M,1.0,True,1,9,start,confirm,9,0.0
380,80127,control,858269111_61883090367,long_tenure,185.0,45.5,M,1.0,True,0,9,start,step_1,9,0.0
381,80275,test,351892697_33634242105,long_tenure,253.0,62.5,M,1.0,True,1,16,start,confirm,16,0.0
383,80479,test,950046187_55725862992,long_tenure,245.0,64.5,M,1.0,True,1,11,start,confirm,11,0.0
385,80801,test,585155814_72398226475,long_tenure,162.0,36.0,M,1.0,True,0,13,start,step_3,13,0.0
387,81119,test,985083010_3798485190,short_tenure,56.0,31.0,U,,True,0,4,start,start,4,0.0
391,82712,control,534347774_70632241399,long_tenure,272.0,59.0,F,0.0,True,0,35,start,start,35,0.0
392,82723,control,43564677_63716938425,short_tenure,58.0,35.0,U,,True,0,7,start,start,7,0.0
395,83447,control,554387165_75950158076,long_tenure,214.0,48.5,M,1.0,True,1,15,start,confirm,15,0.0
398,83795,test,416513102_92928946465,long_tenure,188.0,71.5,F,0.0,True,1,22,start,confirm,22,0.0
400,84480,control,681681248_35009595637,long_tenure,154.0,58.5,F,0.0,True,0,8,start,start,8,0.0
401,84658,test,164543250_104079318,short_tenure,53.0,41.0,M,1.0,True,1,9,start,confirm,9,0.0
404,85097,control,857348223_18277703314,short_tenure,137.0,65.0,M,1.0,True,0,8,start,start,8,0.0
406,85286,control,627726394_4979888433,long_tenure,301.0,22.0,M,1.0,True,0,7,start,step_1,7,0.0
407,85515,control,631484806_26776875094,long_tenure,342.0,75.0,F,0.0,True,0,15,start,step_3,15,0.0
408,85793,control,674283561_71837039651,short_tenure,82.0,63.5,U,,True,1,9,start,confirm,9,0.0
413,86616,control,213285569_94748296377,short_tenure,60.0,30.5,U,,True,1,8,start,confirm,8,0.0
414,86780,test,232895288_25484681291,long_tenure,370.0,61.0,M,1.0,True,0,5,start,start,5,0.0
415,86877,test,816834338_74160924176,short_tenure,58.0,28.0,U,,True,1,9,start,confirm,9,0.0
416,87162,control,364357975_49403410686,long_tenure,317.0,63.5,M,1.0,True,1,8,start,confirm,8,0.0
417,87218,control,235114755_24477340433,short_tenure,70.0,27.5,U,,True,0,8,start,step_1,8,0.0
421,87915,test,622565059_38837485732,long_tenure,315.0,21.0,F,0.0,True,0,7,start,start,7,0.0
422,88378,control,468856842_41982705828,short_tenure,47.0,61.0,U,,True,0,3,start,start,3,0.0
426,89645,control,716961383_38654136848,long_tenure,145.0,32.0,F,0.0,True,0,7,start,step_2,7,0.0
428,89959,test,538130571_96270266585,short_tenure,120.0,38.5,F,0.0,True,1,19,start,confirm,19,0.0
432,90596,control,828800229_91771690443,short_tenure,55.0,48.0,F,0.0,True,1,9,start,confirm,9,0.0
435,91110,test,310329361_42239430387,short_tenure,68.0,69.5,U,,True,1,12,start,confirm,12,0.0
437,91443,test,412718152_39465973956,long_tenure,165.0,35.5,U,,True,1,8,start,confirm,8,0.0
439,91633,test,178563390_23741004084,long_tenure,161.0,66.5,F,0.0,True,1,7,start,confirm,7,0.0
440,92066,test,823785517_69017572651,long_tenure,202.0,38.5,F,0.0,True,1,8,start,confirm,8,0.0
443,92808,control,444617501_9507124305,short_tenure,71.0,47.0,U,,True,1,8,start,confirm,8,0.0
444,93127,control,659415856_56123573912,short_tenure,97.0,44.0,U,,True,1,9,start,confirm,9,0.0
445,93610,test,777650406_84069800466,short_tenure,118.0,58.5,M,1.0,True,1,12,start,confirm,12,0.0
446,93751,test,294729789_51014024713,short_tenure,84.0,65.0,U,,True,0,12,start,start,12,0.0
447,93870,test,387100698_98924994192,long_tenure,288.0,67.5,F,0.0,True,1,11,start,confirm,11,0.0
448,93915,test,122063064_22490029408,short_tenure,70.0,53.5,U,,True,1,19,start,confirm,19,0.0
450,94552,test,439088236_38089704067,long_tenure,283.0,67.0,M,1.0,True,0,14,start,start,14,0.0
451,94662,test,780620553_13020076689,short_tenure,111.0,50.0,F,0.0,True,0,11,start,start,11,0.0
454,95453,test,8780335_22711124934,short_tenure,72.0,34.5,U,,True,1,9,start,confirm,9,0.0
458,96787,test,106981092_53960920167,long_tenure,260.0,53.5,F,0.0,True,1,10,start,confirm,10,0.0
459,97147,test,486574527_56537847245,long_tenure,190.0,55.0,M,1.0,True,0,5,start,step_1,5,0.0
461,97590,test,438192032_99475936573,long_tenure,241.0,57.5,F,0.0,True,1,7,start,confirm,7,0.0
462,97966,control,299693118_1709178452,short_tenure,109.0,40.0,M,1.0,True,0,12,start,step_2,12,0.0
463,98248,test,660844876_46151613480,short_tenure,83.0,60.0,U,,True,0,6,start,start,6,0.0
465,99149,control,785296057_97267661248,long_tenure,150.0,35.5,F,0.0,True,1,9,start,confirm,9,0.0
469,100940,test,826724117_20984938792,long_tenure,190.0,47.0,U,,True,0,11,start,start,11,0.0
474,103622,test,247918770_64527325923,short_tenure,58.0,24.5,U,,True,1,8,start,confirm,8,0.0
476,104190,test,233141449_31045903960,short_tenure,69.0,24.0,U,,True,0,9,start,start,9,0.0
477,104328,control,973572225_11347870125,short_tenure,106.0,36.5,M,1.0,True,1,15,start,confirm,15,0.0
478,104781,control,941164826_86972312621,short_tenure,121.0,39.5,M,1.0,True,1,8,start,confirm,8,0.0
480,104884,control,4119383_9641819826,long_tenure,346.0,83.0,M,1.0,True,1,10,start,confirm,10,0.0
482,105360,control,896606788_98437433340,short_tenure,65.0,56.5,U,,True,1,9,start,confirm,9,0.0
484,106137,test,669399269_76503053253,short_tenure,103.0,51.0,F,0.0,True,0,4,start,start,4,0.0
485,106457,control,286798585_3504387086,short_tenure,119.0,91.0,M,1.0,True,0,12,start,start,12,0.0
487,108335,control,397260158_63528478427,short_tenure,58.0,25.0,U,,True,0,10,start,start,10,0.0
488,108438,control,713067968_90441430889,short_tenure,76.0,28.5,U,,True,1,10,start,confirm,10,0.0
490,109175,control,569622774_88261708161,short_tenure,58.0,38.0,U,,True,0,8,start,step_3,8,0.0
493,109662,test,219601382_56270107115,long_tenure,204.0,54.5,M,1.0,True,1,12,start,confirm,12,0.0
494,109932,control,869455232_40469802426,long_tenure,153.0,44.0,M,1.0,True,0,10,start,step_1,10,0.0
497,110212,test,550790319_20855504662,long_tenure,254.0,54.5,F,0.0,True,1,7,start,confirm,7,0.0
499,110772,test,407832057_61100405773,short_tenure,73.0,55.5,U,,True,1,10,start,confirm,10,0.0
500,111012,control,978521250_81829593758,short_tenure,97.0,30.0,U,,True,1,9,start,confirm,9,0.0
501,111162,test,14063373_99841751710,short_tenure,60.0,33.0,M,1.0,True,0,5,start,start,5,0.0
511,112766,test,830461011_47599544690,short_tenure,59.0,36.5,U,,True,1,14,start,confirm,14,0.0
514,113597,test,334625081_72604094816,short_tenure,109.0,31.0,F,0.0,True,0,6,start,step_1,6,0.0
516,114459,control,698342456_20487912439,long_tenure,264.0,49.0,U,,True,0,7,start,step_3,7,0.0
517,114541,control,458674591_652536179,short_tenure,134.0,35.0,M,1.0,True,1,10,start,confirm,10,0.0
521,115834,control,79622908_59234823489,short_tenure,80.0,43.0,U,,True,0,10,start,start,10,0.0
524,117032,test,668050216_23588164178,short_tenure,126.0,59.5,M,1.0,True,1,24,start,confirm,24,0.0
527,118446,test,919428562_91859575137,short_tenure,49.0,55.5,F,0.0,True,1,14,start,confirm,14,0.0
528,118723,control,360014541_87761783238,long_tenure,359.0,74.0,F,0.0,True,0,8,start,start,8,0.0
529,118964,control,350089902_54266680731,long_tenure,205.0,21.5,U,,True,1,11,start,confirm,11,0.0
530,118966,test,408771549_67362994578,short_tenure,78.0,63.0,U,,True,1,8,start,confirm,8,0.0
531,119006,test,109743231_98459733676,short_tenure,75.0,25.0,U,,True,0,18,start,start,18,0.0
535,119599,test,738922298_6931161127,short_tenure,67.0,33.0,U,,True,0,4,start,start,4,0.0
536,119634,test,820059231_33797236671,long_tenure,165.0,34.5,U,,True,1,13,start,confirm,13,0.0
538,120089,test,122074080_37259875301,long_tenure,179.0,43.0,F,0.0,True,1,14,start,confirm,14,0.0
539,120872,control,396753504_86963657654,long_tenure,187.0,64.5,M,1.0,True,0,11,start,step_1,11,0.0
541,121536,test,572467096_50856142425,long_tenure,185.0,83.0,M,1.0,True,0,10,start,step_3,10,0.0
542,121672,test,812622516_42182657306,long_tenure,162.0,40.0,F,0.0,True,1,8,start,confirm,8,0.0
545,122493,control,478390874_81942341909,short_tenure,74.0,57.0,F,0.0,True,0,5,start,step_1,5,0.0
546,122526,test,553682354_64525805330,long_tenure,179.0,33.5,M,1.0,True,1,7,start,confirm,7,0.0
548,123311,test,364211172_28640219522,short_tenure,71.0,41.5,U,,True,0,7,start,step_1,7,0.0
549,123552,control,148639960_64627368607,long_tenure,247.0,47.0,M,1.0,True,0,4,start,start,4,0.0
555,124646,test,547315360_15171356426,short_tenure,130.0,40.0,F,0.0,True,0,3,start,start,3,0.0
557,124916,control,922280837_89073485618,short_tenure,50.0,25.5,M,1.0,True,0,7,start,step_1,7,0.0
558,125124,test,308136434_91536530059,long_tenure,198.0,73.0,F,0.0,True,0,6,start,start,6,0.0
560,125679,control,71206629_1262001843,short_tenure,58.0,22.5,U,,True,1,14,start,confirm,14,0.0
563,126090,control,636396882_1920964925,long_tenure,280.0,73.0,M,1.0,True,0,10,start,start,10,0.0
564,126285,control,356171425_32179587778,long_tenure,190.0,48.5,F,0.0,True,0,10,start,step_1,10,0.0
565,126309,control,369291810_99885563584,short_tenure,70.0,43.0,U,,True,0,5,start,start,5,0.0
570,127331,test,959329776_13554384029,short_tenure,85.0,55.5,U,,True,0,7,start,step_1,7,0.0
